Track Name,Genre,Duration,BPM,Key,Energy Level,Danceability,Popularity
"Don't Stop The Music",Pop,219,124,Am,High,High,High
"Ignition (Remix)",R&B,222,130,F#min,High,High,High
"The Real Slim Shady",Hip-Hop,290,87,G,Medium,Medium,High
"No Scrubs",R&B,219,94,Dm,Medium,Medium,High
"Hit 'Em Up - Single Version",Hip-Hop,242,92,Eb,High,Medium,Medium
"All Eyez On Me (ft. Big Syke)",Hip-Hop,213,92,Cm,High,Medium,High
"Mrs. Officer",Hip-Hop,276,87,G,Medium,Medium,Medium
"Use Somebody",Rock,243,63,Ab,High,Medium,High
"Through The Wire",Hip-Hop,257,88,F,Medium,Medium,High
"Crack A Bottle",Hip-Hop,269,85,C,Medium,Medium,High
"Pon de Replay",Pop/Dancehall,207,93,Bbm,High,High,High
"Love in This Club (feat. Young Jeezy)",R&B,234,127,Cm,High,High,High
"Brandy (You're a Fine Girl)",Pop/Rock,206,78,C,Medium,Medium,Medium
"Baby I'm Yours - Digitally Remastered",Pop,171,90,A,Low,Medium,Medium
"Be My Baby",Pop,158,91,D,High,High,High
"Rich Girl",Pop/Rock,212,107,Am,Medium,Medium,High
"Vienna",Pop/Rock,267,58,Db,Low,Low,Medium
"Suspicious Minds",Rock,214,126,G,Medium,High,High
"Pony",R&B,221,84,Bbm,High,Medium,High
"Killing Me Softly With His Song",R&B,220,80,Dm,Low,Low,Medium
