Track Name,Genre,Duration,BPM,Key,Energy Level,Danceability,Popularity
Rihanna - Don't Stop The Music,Pop,213,124,F# Minor,85,80,95
R. Kelly - Ignition - Remix,R&B,245,132,B Major,88,85,88
Eminem - The Real Slim Shady,Hip-Hop,240,108,C# Minor,80,80,90
TLC - No Scrubs,R&B,219,95,F Major,70,75,85
2Pac - Hit 'Em Up - Single Version,Hip-Hop,320,94,D Minor,90,95,95
2Pac - All Eyez On Me (ft. Big Syke),Hip-Hop,380,88,G# Minor,95,90,85
Lil Wayne - Mrs. Officer,Hip-Hop,267,92,F Minor,85,85,87
Kings of Leon - Use Somebody,Rock,210,127,A Major,78,88,95
Kanye West - Through The Wire,Hip-Hop,249,88,D# Major,80,80,90
Eminem - Crack A Bottle,Hip-Hop,268,115,A Minor,85,87,85
Rihanna - Pon de Replay,Pop,214,120,C# Minor,80,90,92
USHER - Love in This Club (feat. Young Jeezy),R&B,259,105,G# Major,75,85,90
Looking Glass - Brandy (You're a Fine Girl),Pop,188,138,C Major,90,95,70
Cass Elliot - Baby I'm Yours - Digitally Remastered,Pop,163,100,E Major,72,80,75
The Ronettes - Be My Baby,Pop,214,116,C Major,85,90,80
Daryl Hall & John Oates - Rich Girl,Pop,262,133,D Major,78,85,80
Billy Joel - Vienna,Pop,219,128,C Major,80,83,85
Elvis Presley - Suspicious Minds,Rock,266,128,B Major,85,88,90
Ginuwine - Pony,R&B,237,115,D# Minor,75,85,85
Fugees - Killing Me Softly With His Song,Hip-Hop,314,99,A Minor,80,80,80
